Date,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharti Airtel,Bharat Petroleum,Britannia Industries,Cipla,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC,HDFC Bank,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,IndusInd Bank,Infosys,ITC Limited,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,Nestlé India,NTPC,Oil and Natural Gas Corporation,Power Grid Corporation of India,Reliance Industries,State Bank of India,Shree Cements,Sun Pharmaceutical,Tata Motors,Tata Steel,Tata Consultancy Services,Tata Consumer Products,Tech Mahindra,Titan Company,UltraTech Cement,United Phosphorus Limited,Wipro
Sector,Infrastructure ,Healthcare ,Consumer Goods ,Banking ,Automobile ,Financial Services ,Financial Services ,Telecommunication ,Energy - Oil & Gas ,Consumer Goods ,Pharmaceuticals ,Pharmaceuticals ,Pharmaceuticals ,Automobile ,Cement ,Information Technology ,Financial Services ,Banking ,Automobile ,Metals ,Consumer Goods ,Banking ,Banking ,Information Technology ,Consumer Goods ,Metals ,Banking ,Construction ,Automobile ,Automobile ,Consumer Goods ,Energy - Power ,Energy - Oil & Gas ,Energy - Power ,Energy - Oil & Gas ,Banking ,Cement ,Pharmaceuticals ,Automobile ,Metals ,Information Technology ,Consumer Goods ,Information Technology ,Consumer Durables ,Cement ,Chemicals ,Information Technology
2008-01-01,259.369995117187,294.174987792969,113.410003662109,194.509994506836,651.612487792969,41.4768028259277,2608,444.214691162109,86.658332824707,147.434997558594,211.100006103516,470.9375,725.150024414063,40.7799987792969,583.261108398438,80.5124969482422,584.52001953125,172.949996948242,698.450012207031,195.308959960938,218.449996948242,223.409088134766,129.050003051758,218.356246948242,72.533332824707,131.929992675781,322.725006103516,921.388916015625,216.274993896484,991.549987792969,527.049987792969,214.54167175293,208.316665649414,109.95002746582,705.376220703125,224.888198852539,1348.65002441406,119.790000915527,146.089584350586,888.188720703125,263.637512207031,92.7649993896484,284.9375,77.2600021362305,992.099975585938,117.900001525879,116.100006103516
2008-01-02,261.489990234375,294.700012207031,113.629997253418,206.929992675781,650.5,44.4401245117188,2610,443.594940185547,86.8499984741211,148.914993286133,218.850006103516,473.375,745.549987792969,40.4099998474121,580.178283691406,78.5875015258789,611.760009765625,171.529998779297,698.75,196.985626220703,215.800003051758,230.409088134766,130.100006103516,218.537506103516,73.6999969482422,130.399993896484,349.1875,919.633361816406,214.074996948242,997.049987792969,527.049987792969,214.25,211.533340454102,109.350028991699,708.719543457031,228.64811706543,1371.5,118.459999084473,152.068466186523,889.427307128906,262.5,98.8150024414063,280.987487792969,78.6575012207031,992.75,124.849998474121,115.053756713867
2008-01-03,255.160003662109,285.825012207031,113.904998779297,207.169998168945,645.174987792969,43.215934753418,2583,435.721557617188,90.3833312988281,151.210006713867,216.350006103516,472.112487792969,714.299987792969,42.5849990844727,558.187866210938,77.5,609,169.440002441406,710,192.99787902832,222.850006103516,223.445449829102,128.100006103516,213.631256103516,71.4833297729492,134.225006103516,336.8125,901.077758789062,207.987503051758,973.200012207031,527.049987792969,230.08332824707,217.625,113.850028991699,719.108581542969,225.996826171875,1358.59997558594,113.574996948242,151.694778442383,882.377014160156,252.762496948242,96.9550018310547,283.137512207031,77.125,987,125.449996948242,111.645004272461
2008-01-04,248.070007324219,285.5,114.089996337891,210.979995727539,648.862487792969,48.6276397705078,2591,435.377227783203,89.5666656494141,150.464996337891,213.649993896484,470.862487792969,728.700012207031,41.5499992370606,556.824584960938,78.7624969482422,625.299987792969,169.639999389648,700.599975585938,199.29670715332,232.050003051758,233.87272644043,131.5,211.862503051758,73.1166687011719,133.490005493164,344.625,944.188903808594,205.9375,964.150024414063,527.049987792969,226.20832824707,223.850006103516,113.250030517578,741.223937988281,225.388259887695,1353.84997558594,111.150001525879,149.788055419922,887.331298828125,251.300003051758,99.6699981689453,280,76.7699966430664,977.299987792969,127.833335876465,111.746253967285
2008-01-07,245.449996948242,279.75,121.23999786377,218.029998779297,634.025024414063,47.2479972839355,2535,430.189514160156,86.7333297729492,152.300003051758,212.649993896484,470.337493896484,712.299987792969,41.4850006103516,544.996704101563,74.8249969482422,623.260009765625,165.539993286133,702,197.574722290039,237.199996948242,247.736358642578,130.75,204.606246948242,77.0999984741211,129.914993286133,346.850006103516,951.766662597656,203.449996948242,963.75,527.049987792969,224,216.483337402344,112.312530517578,747.972473144531,226.718627929687,1359.90002441406,112.180000305176,150.50666809082,882.043579101562,243.899993896484,97.9449996948242,271.362487792969,83.5449981689453,988.450012207031,128.783340454102,108.551254272461
2008-01-08,240.960006713867,273.799987792969,124.819999694824,213.149993896484,634.512512207031,49.5555000305176,2537,448.025146484375,81.8166656494141,153.285003662109,209.899993896484,461.337493896484,704.650024414063,40.2400016784668,526.894714355469,75.2125015258789,616.099975585938,171.574996948242,691.599975585938,189.327331542969,236.600006103516,243.62727355957,126.449996948242,207.78125,77,126.129997253418,332.037506103516,963.888916015625,207.512496948242,939.799987792969,527.049987792969,220.75,220.149993896484,108.487525939941,756.49169921875,232.535430908203,1364.65002441406,110.849998474121,148.494552612305,849.174194335938,246.962493896484,94.1399993896484,275.987487792969,80.1025009155273,971.5,125.633331298828,110.115005493164
2008-01-09,236.050003051758,268.950012207031,120.290000915527,219.119995117188,635.037475585937,49.1620101928711,2540,447.221740722656,77.1166687011719,155.014999389648,209.449996948242,458.399993896484,698.549987792969,40.0299987792969,535.430603027344,75.0250015258789,636.029968261719,174.460006713867,688.200012207031,192.091567993164,234,237.809097290039,124,206.618743896484,76.0166625976563,122.5,324.325012207031,965.055541992188,202.212493896484,924.75,527.049987792969,230.95832824707,216.883331298828,106.76252746582,751.291015625,231.587188720703,1345.5,109.910003662109,147.593887329102,851.556030273438,249.074996948242,93.6699981689453,272.262512207031,83.0625,959.75,130.050003051758,110.43000793457
2008-01-10,224.309997558594,258.174987792969,117.224998474121,217.830001831055,628.0625,47.6171951293945,2505,444.145843505859,72.8666687011719,155.309997558594,202.800003051758,433.975006103516,682.049987792969,38.1599998474121,522.301391601563,74.0500030517578,626.329956054687,172.199996948242,683.299987792969,182.439407348633,228.550003051758,246.572723388672,116.699996948242,200.318756103516,73.2666625976563,120.455001831055,313.137512207031,935.833312988281,201.274993896484,909.200012207031,527.049987792969,221.54167175293,215.691665649414,104.212524414063,749.842224121094,227.350784301758,1332.19995117188,109.599998474121,143.569641113281,813.780029296875,245.412506103516,88.4899978637695,261.375,77.7900009155273,925.049987792969,135.816665649414,109.73250579834
2008-01-11,217.169998168945,258.649993896484,115.720001220703,233.949996948242,629.450012207031,46.9808120727539,2510.05004882813,442.952209472656,72.4166641235352,160.945007324219,205.449996948242,441.762512207031,678.900024414063,37.1300010681152,523.533020019531,72.2249984741211,611.739990234375,176.455001831055,661.25,183.164459228516,223.699996948242,260.909088134766,124.5,197.71875,73.4833297729492,120.11499786377,308.412506103516,928.200012207031,193.762496948242,899.700012207031,527.049987792969,226.875,217.016662597656,105.787528991699,774.557983398438,229.728454589844,1324.40002441406,114.584999084473,146.233306884766,812.970153808594,247.4375,86.8150024414063,254,78.4599990844727,908.549987792969,133.316665649414,109.991256713867
